[0221/220134.370:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0221/225424.270:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225429.280:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225434.300:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225439.308:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225444.327:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225449.344:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225454.357:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225459.373:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225504.391:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225509.039:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0221/225509.404:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225514.416:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225519.433:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225524.445:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225529.461:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225534.470:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225539.489:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225544.509:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225549.514:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225554.535:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225559.558:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225604.569:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225609.591:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225614.601:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225619.614:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225624.625:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225629.634:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225634.654:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225639.659:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225644.674:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225649.684:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225654.696:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225659.713:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225704.731:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225709.743:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225714.752:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225719.766:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225724.781:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225729.795:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225734.797:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225739.811:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225744.816:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225749.821:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225754.830:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225759.847:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225804.862:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225809.875:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225814.885:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225819.901:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225824.917:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225829.934:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225834.953:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225839.964:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225844.976:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225849.996:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225855.019:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225900.041:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225905.057:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225910.065:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225915.082:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225920.103:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225925.119:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225930.139:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225935.153:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225940.166:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225945.189:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225950.202:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225955.221:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/230000.235:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/230005.252:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/230010.265:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/230015.274:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/230020.290:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/230025.303:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/230030.319:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/230035.327:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/230037.591:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0223/161403.410:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0223/161408.468:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0223/161413.491:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0223/161418.510:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0223/161423.523:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0223/161428.546:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0223/161433.556:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0223/161438.573:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0223/161443.578:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0223/161448.599:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0223/161453.620:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0223/161458.633:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0223/161503.654:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0223/161508.661:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0223/161513.679:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0223/161518.702:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0223/161523.720:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0223/161528.737:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
